xzqz,jzsj,ljqznanx,ljqzzs,jzrq,ljqznvx
1,24时,1,1,2020年1月19日,0
8,24时,7,9,2020年1月20日,2
4,24时,9,14,2020年1月21日,5
1,24时,10,15,2020年1月22日,5
0,24时,10,15,2020年1月23日,5
5,24时,14,20,2020年1月24日,6
6,24时,20,27,2020年1月25日,7
9,24时,22,36,2020年1月26日,14
13,24时,27,49,2020年1月27日,22
8,12时,29,57,2020年1月28日,28
14,24时,34,63,2020年1月28日,29
17,12时,41,80,2020年1月29日,39
23,24时,44,86,2020年1月29日,42
12,12时,50,98,2020年1月30日,48
24,24时,56,110,2020年1月30日,54
24,12时,64,134,2020年1月31日,70
60,24时,78,170,2020年1月31日,92
0,12时,78,170,2020年2月1日,92
26,24时,91,196,2020年2月1日,105
11,12时,97,207,2020年2月2日,110
30,24时,105,226,2020年2月2日,121
19,12时,116,245,2020年2月3日,129
43,24时,129,269,2020年2月3日,140
2,12时,129,271,2020年2月4日,142
20,24时,137,289,2020年2月4日,152
2,12时,137,291,2020年2月5日,154
25,24时,149,314,2020年2月5日,165
2,12时,150,316,2020年2月6日,166
20,24时,161,334,2020年2月6日,173
5,12时,164,339,2020年2月7日,175
17,24时,170,351,2020年2月7日,181
3,12时,171,354,2020年2月8日,183
13,24时,174,364,2020年2月8日,190
2,12时,175,366,2020年2月9日,191
4,24时,176,368,2020年2月9日,192
1,12时,176,369,2020年2月10日,193
7,24时,178,375,2020年2月10日,197
11,24时,184,386,2020年2月11日,202
5,24时,187,391,2020年2月12日,204
9,24时,192,400,2020年2月13日,208
6,24时,194,406,2020年2月14日,212
8,24时,195,414,2020年2月15日,219
1,24时,196,415,2020年2月16日,219
1,24时,197,416,2020年2月17日,219
0,24时,197,416,2020年2月18日,219
14,24时,-,763,2020年2月18日,-
0,24时,197,416,2020年2月19日,219
0,24时,197,416,2020年2月20日,219
1,24时,197,417,2020年2月21日,220
0,24时,197,417,2020年2月22日,220
0,24时,197,417,2020年2月23日,220
0,24时,197,417,2020年2月24日,220
0,24时,197,417,2020年2月25日,220
0,24时,197,417,2020年2月26日,220
0,24时,197,417,2020年2月27日,220
0,24时,197,417,2020年2月28日,220
0,24时,197,417,2020年2月29日,220
1,24时,198,418,2020年3月1日,220
0,24时,198,418,2020年3月2日,220
0,24时,198,418,2020年3月3日,220
0,24时,198,418,2020年3月4日,220
0,24时,198,418,2020年3月5日,220
1,24时,198,419,2020年3月6日,221
0,24时,198,419,2020年3月7日,221
0,24时,198,419,2020年3月8日,221
0,24时,198,419,2020年3月9日,221
0,24时,198,419,2020年3月10日,221
1,24时,199,420,2020年3月11日,221
0,24时,199,420,2020年3月12日,221
0,24时,199,420,2020年3月13日,221
1,24时,200,421,2020年3月14日,221
2,24时,202,423,2020年3月15日,221
0,24时,202,423,2020年3月16日,221
2,24时,204,425,2020年3月17日,221
2,24时,206,427,2020年3月18日,221
5,24时,207,432,2020年3月19日,225
4,24时,211,436,2020年3月20日,225
3,24时,212,439,2020年3月21日,227
0,24时,212,439,2020年3月22日,227
1,24时,213,440,2020年3月23日,227
1,24时,214,441,2020年3月24日,227
2,24时,216,443,2020年3月25日,227
1,24时,216,444,2020年3月26日,228
2,24时,217,446,2020年3月27日,229
1,24时,218,447,2020年3月28日,229
2,24时,220,449,2020年3月29日,229
1,24时,220,450,2020年3月30日,230
1,24时,221,451,2020年3月31日,230
0,24时,221,451,2020年4月1日,230
1,24时,221,452,2020年4月2日,231
1,24时,222,453,2020年4月3日,231
1,24时,223,454,2020年4月4日,231
1,24时,224,455,2020年4月5日,231
0,24时,224,455,2020年4月6日,231
1,24时,225,456,2020年4月7日,231
0,24时,225,456,2020年4月8日,231
0,24时,225,456,2020年4月9日,231
0,24时,225,456,2020年4月10日,231
0,24时,225,456,2020年4月11日,231
0,24时,225,456,2020年4月12日,231
2,24时,227,458,2020年4月13日,231
0,24时,227,458,2020年4月14日,231
0,24时,227,458,2020年4月15日,231
1,24时,227,459,2020年4月16日,232
1,24时,228,460,2020年4月17日,232
1,24时,228,461,2020年4月18日,233
0,24时,228,461,2020年4月19日,233
0,24时,228,461,2020年4月20日,233
0,24时,228,461,2020年4月21日,233
0,24时,228,461,2020年4月22日,233
0,24时,228,461,2020年4月23日,233
0,24时,228,461,2020年4月24日,233
0,24时,228,461,2020年4月25日,233
0,24时,228,461,2020年4月26日,233
0,24时,228,461,2020年4月27日,233
1,24时,229,462,2020年4月28日,233
0,24时,229,462,2020年4月29日,233
0,24时,229,462,2020年4月30日,233
0,24时,229,462,2020年5月1日,233
0,24时,229,462,2020年5月2日,233
0,24时,229,462,2020年5月3日,233
0,24时,229,462,2020年5月4日,233
0,24时,229,462,2020年5月5日,233
0,24时,229,462,2020年5月6日,233
0,24时,229,462,2020年5月7日,233
0,24时,229,462,2020年5月8日,233
0,24时,229,462,2020年5月9日,233
0,24时,229,462,2020年5月10日,233
0,24时,229,462,2020年5月11日,233
0,24时,229,462,2020年5月12日,233
0,24时,229,462,2020年5月13日,233
0,24时,229,462,2020年5月14日,233
0,24时,229,462,2020年5月15日,233
0,24时,229,462,2020年5月16日,233
0,24时,229,462,2020年5月17日,233
0,24时,229,462,2020年5月18日,233
0,24时,229,462,2020年5月19日,233
0,24时,229,462,2020年5月20日,233
0,24时,229,462,2020年5月21日,233
0,24时,229,462,2020年5月22日,233
0,24时,229,462,2020年5月23日,233
0,24时,229,462,2020年5月24日,233
0,24时,229,462,2020年5月25日,233
0,24时,229,462,2020年5月26日,233
0,24时,229,462,2020年5月27日,233
0,24时,229,462,2020年5月28日,233
0,24时,229,462,2020年5月29日,233
0,24时,229,462,2020年5月30日,233
0,24时,229,462,2020年5月31日,233
0,24时,229,462,2020年6月1日,233
0,24时,229,462,2020年6月2日,233
0,24时,229,462,2020年6月3日,233
0,24时,229,462,2020年6月4日,233
0,24时,229,462,2020年6月5日,233
0,24时,229,462,2020年6月6日,233
0,24时,229,462,2020年6月7日,233
0,24时,229,462,2020年6月8日,233
0,24时,229,462,2020年6月9日,233
0,24时,229,462,2020年6月10日,233
0,24时,229,462,2020年6月11日,233
0,24时,229,462,2020年6月12日,233
0,24时,229,462,2020年6月13日,233
0,24时,229,462,2020年6月14日,233
0,24时,229,462,2020年6月15日,233
0,24时,229,462,2020年6月16日,233
0,24时,229,462,2020年6月17日,233
0,24时,229,462,2020年6月18日,233
0,24时,229,462,2020年6月19日,233
0,24时,229,462,2020年6月20日,233
0,24时,229,462,2020年6月21日,233
0,24时,229,462,2020年6月22日,233
0,24时,229,462,2020年6月23日,233
0,24时,229,462,2020年6月24日,233
0,24时,229,462,2020年6月25日,233
0,24时,229,462,2020年6月26日,233
0,24时,229,462,2020年6月27日,233
0,24时,229,462,2020年6月28日,233
0,24时,229,462,2020年6月29日,233
0,24时,229,462,2020年6月30日,233
0,24时,229,462,2020年7月1日,233
0,24时,229,462,2020年7月2日,233
0,24时,229,462,2020年7月3日,233
0,24时,229,462,2020年7月4日,233
0,24时,229,462,2020年7月5日,233
0,24时,229,462,2020年7月6日,233
0,24时,229,462,2020年7月7日,233
0,24时,229,462,2020年7月8日,233
0,24时,229,462,2020年7月9日,233
0,24时,229,462,2020年7月10日,233
